,artist_name,artist_id,genres,followers,popularity
7yMpYMZTr6Hm1Dm5CR0CRZ,An Autumn for Crippled Children,An Autumn for Crippled Children,7yMpYMZTr6Hm1Dm5CR0CRZ,"['atmospheric black metal', 'avant-garde black metal', 'blackgaze', 'british black metal', 'depressive black metal', 'dutch black metal']","{'href': None, 'total': 27077}",25
588wrWXUKohMgQlXQ6VOXH,Sons of Haze,Sons of Haze,588wrWXUKohMgQlXQ6VOXH,['brazilian metalcore'],"{'href': None, 'total': 82}",0
1NFM2UHmfnOVpLQjeb8IaG,Fate Breaks Dawn,Fate Breaks Dawn,1NFM2UHmfnOVpLQjeb8IaG,['power thrash'],"{'href': None, 'total': 146}",0
0ZSFGk9QHYEuzqfyVwAcx1,Sylvania,Sylvania,0ZSFGk9QHYEuzqfyVwAcx1,['spanish metal'],"{'href': None, 'total': 12666}",26
5j2W7hGA3HpqjbJ8wxINvq,Howls of Ebb,Howls Of Ebb,5j2W7hGA3HpqjbJ8wxINvq,['experimental black metal'],"{'href': None, 'total': 1542}",1
1ttRaUiRVf3LFVi7kbEkcc,Obsessor,Obsessor,1ttRaUiRVf3LFVi7kbEkcc,"[""black 'n' roll""]","{'href': None, 'total': 236}",0
5wzeqohUn5MKCSaOP3bQO9,Humulus,Humulus,5wzeqohUn5MKCSaOP3bQO9,"['instrumental stoner rock', 'italian stoner rock', 'psychedelic doom']","{'href': None, 'total': 2933}",12
4RkN3W7g342UMn96zu9idU,Idolater,IDOLATER,4RkN3W7g342UMn96zu9idU,"['alt-idol', 'idol rock']","{'href': None, 'total': 1008}",9
1GtRmLgt8ZQmiiAPM5G3zZ,Idolater,Idolater,1GtRmLgt8ZQmiiAPM5G3zZ,['unblack metal'],"{'href': None, 'total': 32}",0
7gucBzzckSMK6BzLE74KKg,Miksha,Miksha,7gucBzzckSMK6BzLE74KKg,"['cyber metal', 'neo-industrial rock']","{'href': None, 'total': 146}",0
43sZBwHjahUvgbx1WNIkIz,Creed,Creed,43sZBwHjahUvgbx1WNIkIz,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']","{'href': None, 'total': 2771744}",67
2dBPjRgRIdqJiPikMh1Y0P,Hell Within,Hell Within,2dBPjRgRIdqJiPikMh1Y0P,['new england metal'],"{'href': None, 'total': 2819}",6
